Website,URL,Status,CSS Framework(s),Design System(s) Used,UX4G Design System (Yes/No),UX4G Accessibility CDN (Yes/No),Confidence,Evidence,Notes
DigiLocker,https://www.digilocker.gov.in/,LIVE,"Bootstrap, Tailwind CSS","UX4G Design System, React Bootstrap",Yes,Yes,High,"[UX4G DS]: CDN/File: https://cdn.digilocker.gov.in/ux4g/UX4G@1.0.2/css/ux4g-min.css | [UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/entity-locker/accessibility-widget.js  | [Frameworks]: Bootstrap (CDN/File: bootstrap.min.js ; Classes: [col-xl-3, col-xl-4, col-lg-3, col-md-6]; Meta: Bootstrap); Tailwind CSS (Classes: [flex-wrap, flex-row, shadow-sm]) | [UI Libraries]: UX4G Design System (CDN/File: https://cdn.digilocker.gov.in/ux4g/UX4G@1.0.2/css/ux4g-min.css); React Bootstrap (Classes: [btn-primary, btn-outline-primary, col-md-6, col-md-2])",LIVE
Entity Locker,https://entity.digilocker.gov.in/,LIVE,"Bootstrap, Tailwind CSS","UX4G Design System, React Bootstrap",Yes,Yes,High,"[UX4G DS]: CDN/File: https://cdn.digilocker.gov.in/ux4g/UX4G@1.0.2/css/ux4g-min.css | [UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/entity-locker/accessibility-widget.js | [Frameworks]: Bootstrap (Attr: data-bs-dismiss; Classes: [col-xl-3, col-xl-4, col-lg-3, col-md-6]); Tailwind CSS (Classes: [flex-wrap, flex-row, shadow-sm]) | [UI Libraries]: UX4G Design System (CDN/File: https://cdn.digilocker.gov.in/ux4g/UX4G@1.0.2/css/ux4g-min.css); React Bootstrap (Classes: [btn-primary, btn-outline-primary, col-md-6, col-md-2])",LIVE
API Setu,https://apisetu.gov.in/,LIVE,Tailwind CSS,UX4G Design System,Yes,No,High,"[UX4G DS]: Classes: [ux4g-btn, ux4g-btn-outline-primary, ux4g-btn-primary, ux4g-btn-sm, ux4g-btn-text-neutral, ux4g-btn-text-primary], CSS Var: --ux4g-* | [Frameworks]: Tailwind CSS (Classes: [flex-col, flex-row, lg:flex-row, md:flex-row]) | [UI Libraries]: UX4G Design System (Classes: [ux4g-btn, ux4g-btn-outline-primary, ux4g-btn-primary, ux4g-btn-sm, ux4g-btn-text-neutral, ux4g-btn-text-primary], CSS Var: --ux4g-*)",LIVE
OpenForge,https://openforge.gov.in/,LIVE,None Detected,Custom / None Detected,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js,LIVE
UMANG,https://web.umang.gov.in/,LIVE,None Detected,Custom / None Detected,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js,LIVE
myScheme,https://www.myscheme.gov.in/,LIVE,"Bootstrap, Tailwind CSS",Custom / None Detected,No,No,High,"[Frameworks]: Bootstrap (Classes: [container, d-block]); Tailwind CSS (Classes: [flex-col, flex-1, flex-row, lg:flex-row])",LIVE
Meri Pehchaan,https://meripehchaan.gov.in/,LIVE,Bootstrap,React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-xl-4, col-lg-3, col-lg-5, col-sm-6]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [col-md-4, col-lg-3, col-lg-5, col-lg-9])",LIVE
UPSC,https://www.upsc.gov.in/,LIVE,Bootstrap,React Bootstrap,No,Yes,High,"[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js | [Frameworks]: Bootstrap (Classes: [col-sm-12, col-xs-8, col-md-12, col-xs-4]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [btn-primary, col-md-12, col-md-8, col-md-4])",LIVE
PAIMANA,https://paimana-proj.mospi.gov.in/,LIVE,Bootstrap,React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-6, col-sm-12, col-md-12, col-lg-4]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [col-md-6, col-md-12, col-lg-4, container-fluid])",LIVE
NIRI,N/A,VERIFY / NO URL CONFIRMED,None Detected,None Detected,No,No,N/A,Portal skipped: No official URL (VERIFY / NO URL CONFIRMED),VERIFY / NO URL CONFIRMED
NSWS,https://www.nsws.gov.in/,LIVE,"Bootstrap, Foundation",Custom / None Detected,No,No,High,"[Frameworks]: Bootstrap (Classes: [navbar, modal]); Foundation (Attr: data-off-canvas; Classes: [button-group])",LIVE
LBSNAA,https://www.lbsnaa.gov.in/,LIVE,"Bootstrap, Tailwind CSS",React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.js; Classes: [col-lg-3, col-md-6, col-md-2, col-md-12]; Meta: Bootstrap); Tailwind CSS (Classes: [shadow-sm, shadow-none]) | [UI Libraries]: React Bootstrap (Classes: [btn-primary, col-md-6, col-md-2, col-md-12])",LIVE
DPE,https://www.dpe.gov.in/,LIVE,Bootstrap,Custom / None Detected,No,No,Medium,[Frameworks]: Bootstrap (Meta: Bootstrap),LIVE
ITPO – Bharat Mandapam,https://www.itpo.gov.in/,LIVE,Bootstrap,Custom / None Detected,No,No,Medium,[Frameworks]: Bootstrap (Meta: Bootstrap),LIVE
IPA,https://www.ipa.org.in/,VERIFY,Bootstrap,React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-lg-3, col-md-6, col-sm-12, col-lg-5]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [col-md-6, col-md-12, col-md-8, col-md-4])",VERIFY
